D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,20/07/2022 20:53:16,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17.dwg,Modelo,20/07/2022 20:55:41,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17.dwg,Modelo,20/07/2022 20:57:26,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,25/07/2022 19:56:06,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,25/07/2022 19:57:00,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,25/07/2022 19:57:42,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,25/07/2022 19:58:22,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,25/07/2022 19:59:00,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,25/07/2022 19:59:43,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,25/07/2022 20:00:22,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,25/07/2022 20:01:04,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,25/07/2022 20:01:40,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,25/07/2022 20:02:23,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15 - S.dwg,Modelo,25/07/2022 20:03:06,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,25/07/2022 20:03:47,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
